channel,spearman
unmod1_l3_f83,-0.06897139298807227
unmod1_l3_f84,-0.03646120328132732
unmod1_l3_f85,-0.02276062618700929
unmod1_l3_f86,0.057808573395347077
unmod1_l3_f87,0.07971344451768193
unmod1_l3_f88,-0.17510565682936177
unmod1_l3_f89,-0.16175186666285912
unmod1_l3_f90,-0.18205861958633734
unmod1_l3_f91,-0.001469062245531219
unmod1_l3_f92,-0.06908689661662293
unmod1_l3_f93,-0.005343908644333868
unmod1_l3_f94,-0.3054747794378942
unmod1_l3_f95,0.03731040540757914
unmod1_l3_f96,0.08861003532964884
unmod1_l3_f97,-0.47068814377146234
unmod1_l3_f98,-0.16437139533382178
unmod1_l3_f99,-0.1750489452598913
unmod1_l3_f100,-0.17151452446274432
unmod1_l3_f101,-0.08000433135326081
unmod1_l3_f102,-0.04242325792280094
unmod1_l3_f103,-0.1571734928967132
unmod1_l3_f104,-0.06714264648503554
unmod1_l3_f105,-0.2247314567475532
unmod1_l3_f106,0.007945761014622441
unmod1_l3_f107,-0.014763892210228075
unmod1_l3_f108,-0.13323512047336253
unmod1_l3_f109,0.029488370395861226
unmod1_l3_f110,0.10723618195420588
unmod1_l3_f111,-0.18117770496506164
unmod1_l3_f112,-0.2331899646916541
unmod1_l3_f113,-0.00010413871844544779
unmod1_l3_f114,0.09023259900257373
unmod1_l3_f115,-0.2253343699133435
unmod1_l3_f116,-0.02031994998916553
unmod1_l3_f117,-0.07488176170234724
unmod1_l3_f118,-0.036628477434795165
unmod1_l3_f119,0.0026677928445772983
unmod1_l3_f120,-0.22670973569450362
unmod1_l3_f121,-0.14791008113827098
unmod1_l3_f122,0.0004045562085612994
unmod1_l3_f123,0.04119263213109011
unmod1_l3_f124,-0.1715242851006594
unmod1_l3_f125,0.056934546680957134
unmod1_l3_f126,0.10671456601137938
unmod1_l3_f127,-0.05277249049178675
unmod1_l3_f128,-0.08317559218192398
unmod1_l3_f129,0.09847575569067968
unmod1_l3_f130,0.12939380175391993
unmod1_l3_f131,0.045163960213363476
unmod1_l3_f132,-0.040857583689623174
unmod1_l3_f133,-0.2742492813159115
unmod1_l3_f134,-0.010255451156576546
unmod1_l3_f135,-0.4137450987101325
unmod1_l3_f136,-0.1330548582102068
unmod1_l3_f137,-0.007290515255487217
unmod1_l3_f138,-0.19639965778860072
unmod1_l3_f139,0.022850055349103327
unmod1_l3_f140,-0.30092761768141346
unmod1_l3_f141,-0.15988117970577365
unmod1_l3_f142,-0.003297923461563701
unmod1_l3_f143,-0.0032674219029543957
unmod1_l3_f144,0.047159116864819314
unmod1_l3_f145,-0.41184639313979216
unmod1_l3_f146,-0.2966094237940843
unmod1_l3_f147,0.013569222489890178
unmod1_l3_f148,-0.11992013133237593
unmod1_l3_f149,-0.019464165156929333
unmod1_l3_f150,-0.024171898313637266
unmod1_l3_f151,-0.12779208291617059
unmod1_l3_f152,-0.1675244998502222
unmod1_l3_f153,-0.15441373518922133
unmod1_l3_f154,-0.04945424634104401
unmod1_l3_f155,0.11593339857942771
unmod1_l3_f156,-0.22162489934145504
unmod1_l3_f157,-0.15264614844225732
unmod1_l3_f158,0.0370367049783282
unmod1_l3_f159,-0.04242962809896354
unmod1_l3_f160,-0.013453723181690155
unmod1_l3_f161,0.04891823606790456
unmod1_l3_f162,-0.24326112128299485
unmod1_l3_f163,-0.03303187814516709
unmod1_l3_f164,-0.26116376250033435
unmod1_l3_f165,-0.039197927657737976
unmod1_l3_f166,-0.15401176033826958
unmod1_l3_f167,-0.3302810502187687
unmod1_l3_f168,-0.04077413086021366
unmod1_l3_f169,-0.5104768689957544
unmod1_l3_f170,0.06008090961488303
unmod1_l3_f171,-0.2506218144792972
unmod1_l3_f172,0.04353333952443885
unmod1_l3_f173,-0.1083189877228596
unmod1_l3_f174,-0.06599680167606585
unmod1_l3_f175,-0.00475825742241924
unmod1_l3_f176,-0.4367166198159971
unmod1_l3_f177,-0.10371231540338985
unmod1_l3_f178,-0.31851354402204646
unmod1_l3_f179,-0.1419401022464022
unmod1_l3_f180,-0.16453197729287067
unmod1_l3_f181,-0.07613193342500563
unmod1_l3_f182,0.04019624163022428
unmod1_l3_f183,-0.2086325459063998
unmod1_l3_f184,-0.16753659289192818
unmod1_l3_f185,-0.2859266050008706
unmod1_l3_f186,-0.054622710853623795
unmod1_l3_f187,0.031493834690653255
unmod1_l3_f188,-0.19791605388907135
unmod1_l3_f189,0.0866278229398921
unmod1_l3_f190,-0.06954032200000798
unmod1_l3_f191,-0.01620872259890944
unmod1_l3_f192,-0.04582540536899394
unmod1_l3_f193,-0.4126280952726282
unmod1_l3_f194,-0.040612017998170186
unmod1_l3_f195,0.039034155775668655
unmod1_l3_f196,-0.3460483452536713
unmod1_l3_f197,-0.2946153063077863
unmod1_l3_f198,-0.3298228020359194
unmod1_l3_f199,-0.10196993826572955
