channel,spearman
vleng_l3_178,-0.29061469922914485
vleng_l3_179,-0.15611460355192874
vleng_l3_180,-0.18243632642129803
vleng_l3_181,-0.09860127899750508
vleng_l3_182,0.0076720702082423865
vleng_l3_183,-0.2073869995106241
vleng_l3_184,-0.1496609674505573
vleng_l3_185,-0.28327966681456823
vleng_l3_186,-0.050978158777054174
vleng_l3_187,-0.002194102828799915
vleng_l3_188,-0.19393586581910627
vleng_l3_189,0.05750756899723553
vleng_l3_190,-0.05317517326160412
vleng_l3_191,-0.03154253182457067
vleng_l3_192,-0.04440709067184566
vleng_l3_193,-0.4126912247296503
vleng_l3_194,-0.0701089779364107
vleng_l3_195,0.04142072526658288
vleng_l3_196,-0.3304206862039462
vleng_l3_197,-0.29548805577430814
vleng_l3_198,-0.3282152516035613
vleng_l3_199,-0.08037582506784523
vleng_l3_200,-0.05457547867464678
vleng_l3_201,-0.055466449766792124
vleng_l3_202,-0.2798155177405085
vleng_l3_203,-0.06889171895809433
vleng_l3_204,-0.1562591779776829
vleng_l3_205,-0.127094435976283
vleng_l3_206,-0.1805517106730164
vleng_l3_207,0.06579106565249764
vleng_l3_208,-0.07058651016684471
vleng_l3_209,0.05879501090411429
vleng_l3_210,-0.024898173912096606
vleng_l3_211,0.03956773624763824
vleng_l3_212,-0.20639546387085844
vleng_l3_213,-0.49288817829227494
vleng_l3_214,0.013214487835848984
vleng_l3_215,0.02267838666379938
vleng_l3_216,-0.14214654467885476
vleng_l3_217,-0.03239084039275588
vleng_l3_218,-0.021986624195197844
vleng_l3_219,-0.08528949321963872
vleng_l3_220,0.021789238566686
vleng_l3_221,-0.31063301973504504
vleng_l3_222,-0.44242447649304806
vleng_l3_223,-0.21937061112205533
vleng_l3_224,0.01967907132557786
vleng_l3_225,-0.11805464203931211
vleng_l3_226,-0.46054684865596646
vleng_l3_227,0.07085117828912352
vleng_l3_228,0.05551526075108047
vleng_l3_229,-0.011465947317657434
vleng_l3_230,-0.26600404610661543
vleng_l3_231,-0.0712306505034685
vleng_l3_232,-0.41544309087192044
vleng_l3_233,0.06680714687071103
vleng_l3_234,-0.44987175442747906
vleng_l3_235,-0.01381619203867851
vleng_l3_236,-0.46913666500777346
vleng_l3_237,-0.013250517667802867
vleng_l3_238,-0.0768318503380317
vleng_l3_239,-0.061423722213611615
vleng_l3_240,-0.1946816826727224
vleng_l3_241,-0.04674056215467481
vleng_l3_242,-0.4120219813658914
vleng_l3_243,-0.04344906412104626
vleng_l3_244,-0.2659273901857056
vleng_l3_245,-0.1459139943342866
vleng_l3_246,-0.04303847543792235
vleng_l3_247,0.03393203344518318
vleng_l3_248,-0.04067213255073709
vleng_l3_249,-0.15155693169195972
vleng_l3_250,0.051438255799002734
vleng_l3_251,-0.2513317937205819
vleng_l3_252,0.08543127725470122
vleng_l3_253,-0.10237040964945404
vleng_l3_254,-0.1762383363028921
vleng_l3_255,0.044058223555151536
