unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.437,-0.383,-0.419,-0.074,-0.09,-0.12,filter_150
-0.24,-0.086,-0.228,-0.058,-0.068,-0.018,filter_151
0.009,0.241,-0.02,0.043,-0.124,0.117,filter_152
-0.181,-0.215,-0.198,-0.087,-0.056,-0.079,filter_153
-0.04,-0.191,-0.063,-0.054,-0.067,-0.093,filter_154
-0.563,-0.408,-0.537,-0.143,-0.126,-0.12,filter_155
0.019,-0.064,-0.013,-0.017,-0.046,-0.013,filter_156
-0.004,-0.096,-0.03,-0.004,-0.04,-0.079,filter_157
0.071,0.264,0.044,0.014,-0.011,0.07,filter_158
0.055,-0.046,0.007,-0.012,-0.016,-0.006,filter_159
0.027,0.062,-0.032,-0.001,-0.038,0.046,filter_160
-0.083,-0.243,-0.11,-0.05,0.027,-0.068,filter_161
0.075,0.174,0.029,0.032,-0.037,0.091,filter_162
-0.179,-0.041,-0.193,-0.031,0.048,0.02,filter_163
0.026,-0.07,-0.007,-0.005,0.014,-0.005,filter_164
-0.173,0.015,-0.175,-0.008,-0.133,0.026,filter_165
0.041,0.013,0.028,-0.007,0.01,0.029,filter_166
-0.371,-0.214,-0.342,-0.076,0.026,-0.038,filter_167
-0.468,-0.399,-0.463,-0.113,-0.085,-0.149,filter_168
0.058,0.031,0.051,0.013,0.057,0.049,filter_169
0.031,0.14,0.032,0.028,0.006,0.067,filter_170
0.0,-0.236,-0.005,-0.051,0.009,-0.114,filter_171
-0.032,-0.005,-0.051,-0.035,-0.117,-0.022,filter_172
0.043,-0.071,0.024,0.009,0.076,-0.023,filter_173
-0.091,-0.022,-0.105,-0.013,-0.032,0.014,filter_174
-0.022,0.029,-0.031,0.004,-0.096,-0.029,filter_175
-0.268,-0.148,-0.268,-0.058,-0.073,-0.068,filter_176
-0.022,-0.128,-0.022,-0.025,0.104,-0.049,filter_177
0.01,-0.094,-0.016,0.013,0.066,-0.05,filter_178
-0.026,-0.144,-0.012,0.015,0.129,-0.009,filter_179
0.011,-0.091,-0.033,0.018,-0.025,0.014,filter_180
-0.483,-0.454,-0.46,-0.108,-0.108,-0.132,filter_181
0.041,0.198,0.021,0.022,0.04,0.043,filter_182
0.059,0.181,0.014,0.0,-0.113,0.057,filter_183
-0.112,0.051,-0.13,-0.001,-0.08,0.041,filter_184
-0.002,0.012,-0.012,-0.014,-0.003,0.019,filter_185
-0.095,0.08,-0.119,-0.031,-0.052,0.007,filter_186
0.093,0.242,0.029,0.03,0.026,0.098,filter_187
