Andrev2015,pc3,muscle,human,vleng,channel_name
-0.001,-0.023,0.08,-0.089,0.014,filter_279
0.004,0.01,-0.12,-0.061,0.027,filter_280
-0.025,-0.01,-0.043,-0.022,-0.034,filter_281
-0.024,-0.024,-0.002,-0.088,0.02,filter_282
-0.064,-0.03,-0.048,-0.165,-0.3,filter_283
0.045,0.039,-0.119,0.023,0.006,filter_284
0.003,0.022,-0.1,0.137,-0.077,filter_285
-0.007,-0.022,-0.166,-0.15,-0.086,filter_286
0.048,0.089,0.026,0.217,0.083,filter_287
0.054,0.095,0.024,0.254,0.054,filter_288
-0.004,0.017,-0.022,0.11,0.041,filter_289
0.005,-0.044,0.012,-0.234,0.006,filter_290
0.005,-0.009,-0.037,0.043,-0.068,filter_291
-0.0,-0.05,0.001,-0.164,0.023,filter_292
-0.003,-0.005,0.006,-0.124,0.018,filter_293
0.014,0.039,0.125,-0.003,0.042,filter_294
-0.016,0.022,-0.102,0.184,-0.056,filter_295
0.073,0.115,-0.092,0.275,-0.001,filter_296
-0.044,-0.005,-0.035,-0.162,-0.113,filter_297
-0.006,0.055,-0.092,0.123,-0.036,filter_298
-0.006,0.058,-0.077,0.195,0.013,filter_299
-0.022,-0.058,-0.064,-0.148,0.006,filter_300
0.042,0.086,-0.099,0.176,-0.062,filter_301
0.031,0.078,-0.13,0.156,-0.047,filter_302
-0.044,-0.065,-0.019,-0.318,-0.221,filter_303
0.02,0.029,-0.065,-0.083,-0.008,filter_304
-0.037,-0.029,-0.117,-0.191,-0.226,filter_305
0.005,-0.027,-0.191,0.013,-0.046,filter_306
-0.022,-0.041,-0.103,-0.071,-0.206,filter_307
0.019,0.074,-0.04,0.198,-0.073,filter_308
-0.089,-0.124,-0.05,-0.184,-0.22,filter_309
-0.035,-0.082,0.056,-0.182,-0.015,filter_310
-0.055,-0.061,-0.058,-0.123,-0.121,filter_311
0.027,0.029,0.059,-0.04,0.009,filter_312
-0.037,-0.082,-0.122,-0.362,-0.137,filter_313
-0.016,-0.055,-0.015,-0.256,0.005,filter_314
-0.013,-0.004,0.042,-0.066,-0.053,filter_315
-0.009,-0.035,0.004,-0.023,-0.006,filter_316
0.0,0.011,0.057,-0.08,0.022,filter_317
0.007,0.05,-0.132,0.169,-0.035,filter_318
-0.08,-0.055,-0.099,-0.079,-0.275,filter_319
-0.009,0.047,-0.103,0.051,0.001,filter_320
-0.001,-0.029,-0.193,0.018,-0.154,filter_321
-0.065,-0.072,-0.159,-0.073,-0.168,filter_322
-0.01,-0.083,-0.116,-0.369,-0.182,filter_323
0.005,-0.012,-0.063,-0.07,0.033,filter_324
-0.037,-0.091,-0.072,-0.373,-0.171,filter_325
0.018,-0.011,0.009,-0.145,-0.027,filter_326
0.009,0.007,0.013,-0.027,0.009,filter_327
-0.08,-0.034,-0.052,-0.034,-0.156,filter_328
-0.034,-0.012,-0.159,-0.119,-0.24,filter_329
-0.02,0.004,-0.197,0.134,-0.145,filter_330
-0.027,-0.053,-0.027,-0.144,-0.113,filter_331
-0.035,-0.017,-0.124,-0.02,-0.046,filter_332
-0.045,-0.089,-0.062,-0.375,-0.247,filter_333
0.004,0.087,0.055,0.189,0.069,filter_334
0.011,0.053,0.058,0.148,0.044,filter_335
0.038,0.087,-0.166,0.201,-0.03,filter_336
0.003,0.057,-0.14,0.053,-0.105,filter_337
0.016,0.001,-0.06,0.097,-0.021,filter_338
-0.042,-0.078,-0.06,-0.269,-0.178,filter_339
-0.013,-0.059,0.009,-0.137,-0.039,filter_340
-0.004,-0.034,-0.059,-0.07,-0.0,filter_341
0.03,0.031,-0.095,0.088,0.013,filter_342
0.023,0.024,-0.016,0.05,0.002,filter_343
-0.001,0.047,-0.15,0.196,-0.097,filter_344
-0.024,0.0,-0.147,-0.033,-0.216,filter_345
0.022,0.019,-0.052,-0.051,0.032,filter_346
-0.076,-0.039,-0.03,-0.152,-0.326,filter_347
-0.019,-0.005,0.044,0.016,0.016,filter_348
-0.001,0.009,0.06,-0.187,-0.049,filter_349
-0.054,-0.088,-0.079,-0.331,-0.125,filter_350
-0.049,-0.024,-0.049,-0.065,-0.167,filter_351
-0.028,-0.08,-0.087,-0.187,-0.05,filter_352
0.023,0.083,-0.029,0.176,0.061,filter_353
-0.025,-0.039,-0.102,-0.189,-0.065,filter_354
-0.0,0.016,-0.062,-0.03,-0.22,filter_355
0.042,0.067,-0.024,-0.051,0.052,filter_356
