,TSNE-1,TSNE-2,task_source
326,-23.9235,21.694386,human
327,-26.778675,17.49976,human
328,-50.178196,-12.570243,human
329,-55.675148,-2.5790708,human
330,-48.600285,16.308619,human
331,-49.0119,-13.134815,human
332,-36.007565,25.157635,human
333,-51.67767,-13.96161,human
334,-37.10174,11.747032,human
335,-35.667976,6.9058175,human
336,-35.559242,14.30571,human
337,-56.239998,-4.086617,human
338,-34.456814,8.451663,human
339,-23.24792,21.610003,human
340,-41.70158,18.508617,human
341,-52.920208,13.417072,human
342,-29.127586,7.158075,human
343,-59.475384,13.601194,human
344,-55.695774,-0.8587629,human
345,-43.16893,22.731836,human
346,-45.081863,-1.8569187,human
347,-61.2542,5.4729943,human
348,-34.233498,11.062621,human
349,-30.462786,22.878658,human
350,-33.777054,15.09349,human
351,-61.35195,6.2871795,human
352,-60.419426,9.301126,human
353,-39.400715,10.647643,human
354,-24.832266,21.727674,human
355,-48.527664,22.805986,human
356,-34.992363,12.641815,human
357,-57.921425,-0.012268468,human
358,-32.614243,5.0297775,human
359,-47.199917,-11.860245,human
360,-46.025265,11.803303,human
361,-50.085506,-14.193963,human
362,-56.444946,-4.3442993,human
363,-41.860226,7.115889,human
364,-36.410824,10.533884,human
365,-37.357758,6.9799933,human
366,-42.962605,4.056434,human
367,-50.61728,23.836632,human
368,-51.84766,13.964188,human
369,-46.921494,-2.3154116,human
370,-48.795544,-7.301662,human
371,-46.638878,-3.474091,human
372,-40.707237,-2.250298,human
373,-37.018852,22.533636,human
374,-32.138214,12.348034,human
375,-46.847523,12.1329775,human
376,-50.19603,-11.521242,human
377,-45.435566,-0.28154272,human
378,-36.590164,5.8851542,human
379,-42.001293,-3.8071976,human
380,-32.505684,14.747815,human
381,-53.21829,13.732554,human
382,-53.562103,5.9112654,human
383,-53.338455,7.417803,human
384,-46.027866,0.8020912,human
385,-50.715298,24.923632,human
386,-28.397234,24.700972,human
387,-40.646187,7.123951,human
388,-29.803709,26.02255,human
389,-37.498253,11.737485,human
390,-45.18879,-1.7037543,human
391,-49.99064,-7.1352196,human
392,-56.936157,-0.9191521,human
393,-35.930656,27.045237,human
394,-30.796398,14.612553,human
395,-53.795902,-3.407822,human
396,-30.753815,6.8894534,human
397,-36.561066,5.0786257,human
398,-47.99915,-13.796173,human
399,-36.39783,5.839728,human
400,-34.3715,11.228426,human
401,-24.007793,19.406511,human
402,-49.925667,-6.4629903,human
403,-33.274067,10.48994,human
404,-43.99787,-5.214642,human
405,-34.18567,7.0127873,human
406,-26.997683,16.873041,human
407,-52.459183,12.912323,human
408,-52.398193,19.768164,human
409,-52.909782,13.431665,human
410,-49.284664,-10.200199,human
411,-26.407108,23.487879,human
412,-30.437054,21.916433,human
413,-44.066742,6.664141,human
414,-57.77276,-1.8350967,human
415,-22.907087,21.483238,human
416,-53.531143,9.126154,human
417,-54.032455,7.6442575,human
418,-48.890694,-13.149997,human
419,-48.808704,-15.126739,human
420,-53.710526,13.039686,human
421,-46.092297,-3.526799,human
422,-54.157322,3.4578357,human
423,-41.34038,2.5951078,human
424,-56.902905,14.298688,human
425,-52.860317,-3.0187669,human
426,-44.937286,4.4592314,human
427,-49.84646,-12.678468,human
428,-23.48345,20.380661,human
429,-37.00995,11.636747,human
430,-33.55831,14.901582,human
431,-27.968647,18.578499,human
432,-32.609074,8.914053,human
433,-55.533512,3.678922,human
434,-44.107384,-7.5343766,human
435,-56.934204,-0.63558245,human
436,-32.81544,4.381978,human
437,-38.089188,11.999719,human
438,-46.939037,-3.509562,human
439,-50.294037,16.361708,human
440,-36.942215,14.514328,human
441,-49.57341,8.785993,human
442,-45.320827,5.383194,human
443,-57.00425,14.297107,human
444,-51.398155,-4.0439224,human
445,-52.69623,-2.602284,human
446,-49.852913,-6.913209,human
447,-49.056858,-2.584239,human
448,-59.391422,9.970132,human
449,-50.585815,-14.202512,human
450,-41.734653,7.3425894,human
451,-47.972847,-3.867153,human
452,-51.794548,-6.444686,human
453,-46.983242,-5.1573296,human
454,-42.12588,-5.271315,human
455,-29.726454,18.87697,human
456,-50.559395,16.132038,human
457,-39.644737,5.2351313,human
458,-43.966427,-0.26156372,human
459,-48.89209,-6.736206,human
460,-25.183645,18.84535,human
461,-57.909187,-1.9995948,human
462,-29.756552,9.210794,human
463,-32.258,10.805242,human
464,-38.58317,7.9164343,human
465,-56.9072,14.364597,human
466,-53.457214,12.843768,human
467,-35.936245,9.46752,human
468,-24.941568,18.082718,human
469,-35.829792,17.944242,human
470,-36.759678,5.604557,human
471,-58.52569,9.130581,human
472,-35.693604,22.340286,human
473,-48.155884,21.27405,human
474,-33.104523,11.075926,human
475,-61.0238,7.049158,human
476,-47.225334,-1.8730856,human
477,-34.010162,7.4449205,human
478,-36.491093,5.7340035,human
479,-48.608883,-6.9662127,human
480,-47.51831,9.681862,human
481,-57.405365,5.299292,human
482,-56.96764,-3.0860667,human
483,-57.34484,3.1215966,human
484,-50.828575,4.086409,human
485,-35.01875,10.574078,human
486,-30.528889,22.862947,human
487,-56.376633,-3.3223588,human
488,-43.917595,5.313973,human
489,-37.98706,7.8102584,human
490,-44.631668,6.7550488,human
491,-49.268456,-7.2392454,human
492,-39.983856,0.53253406,human
493,-48.988773,1.504537,human
494,-55.253956,2.4770248,human
495,-37.965378,8.279611,human
496,-32.86714,7.8151617,human
497,-41.757286,15.430662,human
498,-52.36217,9.832508,human
499,-52.662865,-5.931505,human
500,-24.877224,27.878592,human
501,-30.361725,10.085651,human
502,-33.266415,17.405617,human
503,-38.508053,6.5599103,human
504,-26.498615,23.576315,human
505,-51.21081,12.11762,human
506,-30.273394,15.232963,human
507,-45.280945,-1.8394196,human
508,-58.086487,16.200842,human
509,-58.436535,13.172112,human
510,-45.27096,-1.2209221,human
511,-43.447414,-2.9354208,human
512,-51.714825,12.568798,human
513,-54.355095,-3.2170436,human
514,-48.03104,-13.95259,human
515,-53.56189,5.8736725,human
516,-28.634462,5.7600393,human
517,-46.855064,12.143776,human
518,-58.051617,16.141537,human
519,-49.842827,9.138923,human
520,-59.99101,10.614664,human
521,-37.824768,6.563468,human
522,-46.283863,12.19856,human
523,-34.861526,8.294149,human
524,-51.544376,14.423459,human
525,-44.308052,-4.682878,human
526,-13.926844,25.15153,human
527,-48.747673,-7.7679305,human
