TSNE-1,TSNE-2,task_source
24.006586,-34.788803,unmod1
26.942999,47.42245,unmod1
-32.5694,2.065896,unmod1
38.608494,-51.543343,unmod1
-4.2507653,17.486555,unmod1
1.9576906,-40.427116,unmod1
-4.7615943,35.80669,unmod1
13.660081,-13.91047,unmod1
75.76335,15.269483,unmod1
-18.108639,0.5925106,unmod1
48.20663,-14.091227,unmod1
15.221412,-39.310825,unmod1
-9.052885,17.82534,unmod1
-14.666087,14.437267,unmod1
32.363956,33.0009,unmod1
26.872631,5.917765,unmod1
-10.011292,21.467588,unmod1
38.893303,46.79561,unmod1
-3.735317,-21.715872,unmod1
57.288025,23.070072,unmod1
-11.820876,24.12106,unmod1
3.7609336,37.177902,unmod1
46.170578,-10.182298,unmod1
6.900504,48.099197,unmod1
1.193127,19.651838,unmod1
-14.501001,-2.433992,unmod1
15.018586,48.07438,unmod1
23.433304,27.265793,unmod1
-21.337734,-11.6278925,unmod1
-6.8349633,35.73234,unmod1
-4.1908755,1.7475703,unmod1
0.3148797,56.50955,unmod1
39.215317,-50.79727,unmod1
-7.824305,33.3112,unmod1
60.92627,9.239694,unmod1
12.2642355,69.76249,unmod1
41.493473,7.701555,unmod1
0.9512745,59.8486,unmod1
-13.8896675,-11.657752,unmod1
44.190193,-28.115034,unmod1
24.517378,34.43607,unmod1
56.877865,11.745263,unmod1
13.212749,56.322605,unmod1
-20.004261,-3.2529323,unmod1
-26.926022,14.632612,unmod1
37.35813,-53.749348,unmod1
-0.9293737,-13.166478,unmod1
53.28309,35.608486,unmod1
10.239492,-42.835068,unmod1
57.346676,12.295288,unmod1
11.411304,35.126877,unmod1
47.30641,-13.26037,unmod1
55.837673,-7.685156,unmod1
78.52199,11.398693,unmod1
11.17471,-43.39195,unmod1
53.90513,30.291117,unmod1
30.475359,26.87684,unmod1
1.7618448,-23.344557,unmod1
65.313034,12.866274,unmod1
53.764553,-46.038654,unmod1
-6.164789,-30.695686,unmod1
-7.8694334,9.99548,unmod1
52.627224,-3.4330044,unmod1
3.691564,57.607704,unmod1
50.025993,37.586803,unmod1
40.135765,18.500893,unmod1
-17.77701,18.020348,unmod1
7.6742783,-53.962826,unmod1
-12.408533,18.982025,unmod1
-23.511076,-8.185297,unmod1
-14.006933,25.388943,unmod1
25.134571,41.84243,unmod1
-11.762095,21.109568,unmod1
-11.830175,21.932814,unmod1
40.51157,39.862274,unmod1
-7.5543365,32.004227,unmod1
12.641777,-6.274861,unmod1
-9.262968,17.787601,unmod1
4.3567376,-45.653866,unmod1
1.0639005,57.29306,unmod1
8.784943,45.85079,unmod1
20.085619,15.7434435,unmod1
13.280507,69.328545,unmod1
5.897298,30.747898,unmod1
60.03008,-37.664425,unmod1
55.449738,-21.122583,unmod1
48.51915,32.479652,unmod1
39.763214,-5.696772,unmod1
43.80275,40.26813,unmod1
17.267403,-29.86467,unmod1
26.568705,28.834713,unmod1
56.756638,-45.375114,unmod1
16.890762,46.426853,unmod1
-2.4292505,25.534533,unmod1
-3.8083448,36.47668,unmod1
42.31694,2.3629768,unmod1
56.179565,-48.581303,unmod1
30.364218,52.615917,unmod1
2.8236933,41.501255,unmod1
32.92482,-45.730854,unmod1
1.2557333,47.804558,unmod1
0.16823977,-57.520668,unmod1
4.161222,-7.1883087,unmod1
55.552204,37.73769,unmod1
13.06075,-31.794127,unmod1
6.8178744,-35.195568,unmod1
11.986495,-1.5686007,unmod1
13.855646,-23.341568,unmod1
-17.471899,19.386011,unmod1
26.288023,-12.029815,unmod1
56.277855,-30.32365,unmod1
56.041847,-46.571335,unmod1
-8.010186,42.97007,unmod1
19.727142,7.9554224,unmod1
-21.589998,8.708446,unmod1
-8.159428,2.8008318,unmod1
-11.988102,55.909435,unmod1
0.29570585,35.142624,unmod1
34.084915,-6.2755303,unmod1
-23.437977,23.854158,unmod1
45.6377,48.13047,unmod1
-4.7890997,22.460623,unmod1
19.147722,52.487778,unmod1
-0.71716464,-7.7366085,unmod1
7.5853496,2.9546418,unmod1
10.31556,-60.454075,unmod1
45.33835,20.686138,unmod1
4.623524,19.50188,unmod1
12.106522,-39.12855,unmod1
21.804462,52.266956,unmod1
24.71318,6.8427505,unmod1
46.667076,36.842842,unmod1
0.38458407,-15.3454075,unmod1
-19.482819,22.134398,unmod1
2.4059298,-45.368748,unmod1
70.36335,-21.728485,unmod1
-12.749959,-8.286005,unmod1
20.065403,-48.27485,unmod1
24.841665,6.2178454,unmod1
3.096177,-16.572412,unmod1
-2.9954867,20.269028,unmod1
-21.078352,29.435616,unmod1
19.537615,-38.804638,unmod1
24.945314,-12.647574,unmod1
-15.843914,15.154677,unmod1
