TSNE-1,TSNE-2,task_source
-44.43345,14.727242,human
-21.307037,21.271059,human
-6.0124335,10.422486,human
10.764281,19.401817,human
-23.54467,29.867464,human
-29.918446,-28.68793,human
-43.19467,-13.30288,human
-21.854124,-11.168393,human
-33.71994,23.645493,human
-25.726841,32.377007,human
-47.290928,14.90709,human
-11.967719,13.613454,human
-33.47329,-29.000168,human
-44.594402,15.887161,human
-50.161324,20.119442,human
-15.627818,-10.603754,human
13.463567,17.454374,human
-14.602809,-9.588026,human
-40.744705,11.812122,human
-6.4742203,-20.083113,human
-47.42587,-26.14606,human
-13.877854,-11.084881,human
-24.575605,17.107096,human
-16.149906,15.757275,human
-20.481882,39.37975,human
-14.145245,-22.408422,human
-39.471222,39.026234,human
-32.850555,36.72522,human
-18.402002,-12.705235,human
-44.857,-6.0886927,human
-25.983437,24.763672,human
-14.727803,41.18031,human
-16.571928,35.0056,human
-48.695255,-8.545207,human
-36.250603,0.786751,human
-40.91211,-15.599521,human
-27.83558,33.684795,human
-21.881773,29.9229,human
-38.829624,-18.415157,human
-17.864447,20.398932,human
-6.015456,34.285847,human
-40.922382,21.070917,human
-18.247974,37.274952,human
-2.7261543,-1.2020284,human
-16.080944,-17.345373,human
16.143892,-30.425518,human
-11.648589,-11.072279,human
-34.19012,8.816677,human
-26.310497,8.233241,human
-41.281933,-19.413713,human
9.34057,1.4318651,human
11.977588,16.278938,human
-13.412376,21.096352,human
-33.09549,4.288382,human
-41.044586,32.39404,human
3.3751616,18.460257,human
-27.51462,28.680119,human
-44.74006,21.251057,human
14.305371,16.34318,human
-40.430634,20.002256,human
-15.604822,-20.10662,human
-27.851587,24.203442,human
-40.899452,22.91882,human
-5.4947147,21.091652,human
-13.538721,40.354088,human
11.932136,-6.0116644,human
-40.82727,24.560377,human
-12.791125,41.42859,human
-15.112933,-29.24457,human
-21.006704,45.256924,human
-35.758606,-22.791624,human
-36.320766,14.042278,human
-13.691671,-14.205422,human
-48.842525,16.604229,human
-14.826917,-22.568394,human
-31.74644,-18.9526,human
18.72163,14.19102,human
-22.495628,31.87839,human
-5.7065387,-1.5066254,human
6.733755,34.69322,human
-21.349377,4.759104,human
-29.345682,30.946888,human
-10.777593,20.118155,human
-29.746792,-33.313896,human
-49.36694,-27.618752,human
-23.01868,30.938438,human
-12.881065,25.334963,human
-46.394566,14.789075,human
-30.56228,-7.3122625,human
-12.6582,-26.352692,human
-19.60257,-20.933537,human
-34.02185,-1.6499697,human
-43.199944,30.238882,human
-20.02102,10.293509,human
-34.961853,10.834093,human
-24.534496,-17.314083,human
-49.897243,12.58538,human
-24.993473,13.835251,human
-49.795906,16.875742,human
-16.46423,14.712529,human
-23.107222,24.752193,human
-23.332376,27.425802,human
3.2050772,27.597427,human
-37.98909,21.01416,human
-11.996089,-9.093142,human
-18.171976,12.782911,human
-47.890705,-21.581915,human
-27.257603,-8.948457,human
-42.971905,25.729145,human
15.972596,-8.114342,human
-6.964846,-7.8177085,human
-48.94467,-1.929972,human
-27.050512,9.083602,human
0.8222225,26.921112,human
-25.223999,26.24871,human
-36.414436,8.9497,human
5.119199,-7.553716,human
-24.868206,-27.226608,human
14.863351,15.642297,human
-39.820595,-34.099854,human
-20.87007,-5.5578127,human
-38.992645,-16.913134,human
7.9091153,33.594604,human
-37.52751,15.928514,human
-16.515251,28.752657,human
-20.0179,18.162165,human
-10.202825,2.3660953,human
8.383161,-11.745627,human
13.110376,-24.762627,human
-52.000515,2.6390562,human
-24.559534,13.8166485,human
2.063438,-2.6320977,human
-25.098183,-0.5660704,human
-35.01157,-14.406933,human
-51.402042,-9.796494,human
-26.853355,-27.137648,human
-18.42765,-9.390147,human
-45.39858,-12.574027,human
-35.75272,8.854778,human
10.009759,3.1019254,human
-11.636588,20.358196,human
-46.70664,25.020147,human
-27.40515,33.965458,human
-26.99234,1.8380575,human
-35.238766,32.69121,human
5.478821,-17.694714,human
-28.77563,-13.764052,human
-22.899315,-19.156101,human
-46.021076,-22.069712,human
-31.792793,20.1867,human
-43.31375,21.377798,human
-38.258575,28.758373,human
-37.44591,31.356102,human
-21.208956,4.6088996,human
-5.859696,38.04888,human
-10.953058,-1.8104326,human
-20.083185,22.126913,human
-36.419296,-30.330069,human
13.466837,4.57674,human
-12.398467,-21.796661,human
-13.990387,-23.279072,human
-9.657269,-14.529965,human
-8.712751,-19.663694,human
-11.058489,-18.732822,human
-26.772894,-5.304568,human
-4.688809,0.31712162,human
-21.405516,14.472374,human
9.817017,13.431073,human
-37.96576,-11.72602,human
-45.84943,20.633234,human
-23.045156,-27.559715,human
-38.370003,-31.675163,human
-23.207497,-13.656805,human
-8.851001,-18.761774,human
-27.82381,26.619328,human
10.533727,-10.280867,human
0.36653408,11.23715,human
-25.46856,-13.167648,human
-45.195545,-35.77746,human
-14.168617,-17.569063,human
-17.456985,13.240015,human
-14.9703455,39.89218,human
-15.282985,-19.783018,human
12.511356,-2.7350414,human
-32.061623,-0.31814253,human
-33.47971,-0.68535525,human
-31.098316,10.127645,human
-17.637135,-23.416512,human
14.1089115,-13.128216,human
-20.099253,32.873245,human
-25.99717,30.81867,human
-32.551224,3.9975173,human
-37.090855,18.551792,human
-19.479298,7.4755306,human
-39.099483,-22.003736,human
4.078597,-4.8366857,human
-27.444565,41.75412,human
-24.310555,32.28861,human
-44.08757,-19.561298,human
15.988813,-1.5524755,human
-20.672792,28.216675,human
-21.524944,41.388676,human
-32.766304,33.9274,human
-48.785645,17.682896,human
-32.653336,39.898594,human
-49.496323,-8.103821,human
-16.195942,18.133768,human
-44.94253,-10.081304,human
-11.434438,-6.0669494,human
-47.199856,-5.665005,human
-19.135263,-11.794954,human
-31.89521,-15.168764,human
2.9808888,-14.374365,human
-36.448204,19.014614,human
4.5039024,9.603423,human
-43.901268,31.074196,human
-32.559475,1.8621478,human
-24.158875,39.583206,human
-38.189415,19.823404,human
-41.71686,-14.76604,human
-4.1361995,-1.1078006,human
12.397836,-2.7749808,human
-6.4873886,7.7114506,human
-26.142426,10.8436985,human
-21.866657,8.4355755,human
-35.970516,-5.705322,human
-48.561684,-4.8280225,human
-18.53194,35.671814,human
-39.33352,-1.1873301,human
-53.045967,6.614779,human
-19.766203,-12.393502,human
-40.7699,22.6858,human
-11.76258,18.424295,human
1.4073921,10.19559,human
-39.019897,26.738068,human
-16.468296,43.209778,human
-49.812103,-2.4110749,human
-24.622528,-27.106646,human
-24.31164,-35.896534,human
-15.019151,11.709587,human
-17.466068,8.800034,human
-32.866222,1.9418057,human
-25.870573,-2.1239042,human
-38.58838,-21.82081,human
-42.909443,-16.758345,human
-21.960352,11.587267,human
-39.711594,-23.616201,human
-44.50421,15.895242,human
-20.777405,8.245444,human
