MPA-H,293T,pc3
-0.03,0.036,0.065
0.03,-0.007,0.034
0.042,0.004,0.009
0.175,0.014,0.062
-0.016,-0.047,-0.049
-0.137,-0.036,-0.077
-0.382,-0.148,-0.146
0.104,-0.02,-0.001
0.066,0.041,0.033
0.096,-0.007,0.064
0.291,0.016,0.107
0.039,-0.015,0.005
0.102,-0.005,-0.007
-0.31,-0.081,-0.052
-0.192,-0.048,-0.046
-0.453,-0.095,-0.156
-0.293,-0.096,-0.083
0.291,0.014,0.081
0.17,0.025,0.075
0.075,-0.0,0.08
0.116,0.013,0.062
0.306,0.015,0.131
0.032,-0.002,0.0
-0.38,-0.119,-0.154
0.025,-0.01,0.05
0.229,0.017,0.065
0.114,0.013,0.058
-0.057,-0.018,-0.024
0.131,0.001,0.035
0.018,0.023,0.051
0.192,0.042,0.093
0.206,0.032,0.089
0.15,0.032,0.049
0.107,0.059,0.07
-0.051,0.002,0.004
0.064,0.04,0.071
-0.225,-0.021,-0.067
-0.017,0.029,0.03
0.156,0.021,0.073
0.281,0.05,0.102
-0.108,0.0,-0.035
0.053,-0.025,0.006
-0.478,-0.138,-0.181
-0.168,-0.015,-0.012
-0.17,-0.02,-0.058
0.067,0.011,0.047
-0.31,-0.061,-0.113
-0.23,-0.012,-0.043
0.055,0.026,0.048
0.147,0.029,0.078
-0.448,-0.124,-0.181
-0.11,-0.091,-0.047
0.132,-0.007,0.027
0.173,0.039,0.07
0.172,0.024,0.102
-0.368,-0.079,-0.148
0.249,-0.004,0.06
0.064,0.012,0.08
-0.153,-0.067,-0.032
-0.348,-0.112,-0.159
-0.311,-0.1,-0.066
0.016,-0.053,0.014
-0.011,-0.046,-0.065
-0.133,-0.023,-0.023
0.154,0.035,0.038
0.124,-0.03,0.034
0.116,0.016,0.057
0.287,0.009,0.12
0.223,0.011,0.046
0.13,0.024,0.057
-0.174,-0.123,-0.071
0.042,-0.034,-0.008
0.208,0.014,0.07
0.108,0.025,0.036
