unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.564,-0.441,-0.52,-0.131,-0.148,-0.13,filter_147
-0.067,-0.033,-0.074,0.011,-0.09,0.008,filter_148
-0.06,-0.091,-0.031,-0.053,0.075,-0.034,filter_149
-0.404,-0.415,-0.386,-0.067,-0.076,-0.11,filter_150
-0.223,-0.056,-0.204,-0.053,-0.08,-0.007,filter_151
0.025,0.283,-0.002,0.055,-0.125,0.115,filter_152
-0.162,-0.211,-0.163,-0.079,-0.084,-0.071,filter_153
-0.047,-0.214,-0.054,-0.05,-0.094,-0.089,filter_154
-0.553,-0.334,-0.532,-0.129,-0.071,-0.096,filter_155
0.017,-0.115,-0.0,-0.006,-0.044,-0.008,filter_156
-0.009,-0.115,-0.023,0.003,-0.054,-0.077,filter_157
0.079,0.281,0.06,0.027,0.009,0.078,filter_158
0.055,-0.049,0.028,-0.011,-0.013,-0.01,filter_159
0.039,0.062,-0.01,0.005,-0.048,0.054,filter_160
-0.08,-0.257,-0.087,-0.05,0.002,-0.06,filter_161
0.08,0.175,0.046,0.035,-0.045,0.086,filter_162
-0.127,0.017,-0.133,-0.024,0.043,0.035,filter_163
0.023,-0.098,0.007,-0.006,0.004,-0.007,filter_164
-0.151,0.046,-0.148,0.005,-0.147,0.051,filter_165
0.041,-0.026,0.044,-0.003,-0.001,0.034,filter_166
-0.323,-0.125,-0.297,-0.051,0.053,-0.009,filter_167
-0.434,-0.362,-0.429,-0.119,-0.057,-0.142,filter_168
0.057,0.017,0.07,0.028,0.065,0.059,filter_169
0.038,0.146,0.054,0.034,0.001,0.071,filter_170
-0.013,-0.268,-0.004,-0.039,0.0,-0.107,filter_171
-0.028,0.006,-0.034,-0.036,-0.119,-0.024,filter_172
0.036,-0.095,0.035,0.021,0.063,-0.015,filter_173
-0.052,0.031,-0.055,-0.004,-0.049,0.021,filter_174
-0.042,0.014,-0.035,0.006,-0.099,-0.036,filter_175
-0.21,-0.062,-0.213,-0.039,-0.083,-0.041,filter_176
-0.024,-0.144,-0.015,-0.017,0.108,-0.042,filter_177
0.004,-0.125,-0.013,0.021,0.08,-0.032,filter_178
-0.033,-0.208,-0.005,0.024,0.128,0.003,filter_179
0.011,-0.122,-0.011,0.03,0.002,0.013,filter_180
-0.504,-0.456,-0.465,-0.113,-0.115,-0.129,filter_181
0.044,0.215,0.032,0.034,0.051,0.051,filter_182
0.06,0.189,0.026,0.01,-0.119,0.054,filter_183
-0.086,0.09,-0.098,0.018,-0.08,0.048,filter_184
-0.008,-0.002,-0.008,-0.008,-0.014,0.024,filter_185
-0.084,0.106,-0.101,-0.021,-0.042,0.01,filter_186
0.114,0.277,0.059,0.037,0.032,0.107,filter_187
-0.107,-0.252,-0.106,0.004,-0.099,-0.03,filter_188
0.055,0.06,0.026,0.008,0.04,0.059,filter_189
-0.018,0.073,-0.019,-0.01,-0.05,0.027,filter_190
-0.039,0.187,-0.04,0.02,-0.143,0.032,filter_191
-0.039,0.109,-0.061,-0.031,-0.141,0.003,filter_192
-0.081,0.099,-0.064,0.024,-0.187,0.029,filter_193
0.089,0.285,0.07,0.048,-0.058,0.078,filter_194
0.042,0.218,0.003,0.016,-0.025,0.054,filter_195
0.073,-0.048,0.033,0.029,-0.087,0.027,filter_196
0.002,-0.054,-0.002,0.032,-0.042,0.071,filter_197
0.031,0.097,0.0,0.002,-0.105,0.063,filter_198
-0.045,0.215,-0.059,0.01,-0.153,0.092,filter_199
0.043,0.061,0.056,0.028,0.097,0.066,filter_200
0.1,0.194,0.066,-0.011,-0.082,0.08,filter_201
-0.0,-0.162,0.01,0.008,0.134,-0.022,filter_202
-0.015,-0.122,0.025,0.028,0.124,0.008,filter_203
-0.06,0.085,-0.088,0.014,-0.099,0.051,filter_204
-0.012,-0.098,-0.013,0.001,0.079,0.02,filter_205
