unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.134,-0.225,-0.106,-0.058,-0.064,-0.066,filter_206
-0.081,-0.129,-0.091,-0.013,-0.047,0.003,filter_207
-0.048,-0.079,-0.086,-0.026,-0.115,0.021,filter_208
-0.414,-0.357,-0.366,-0.064,-0.051,-0.066,filter_209
-0.048,0.066,-0.083,-0.003,-0.085,0.039,filter_210
-0.623,-0.444,-0.571,-0.144,-0.112,-0.119,filter_211
-0.167,-0.438,-0.142,-0.036,0.095,-0.143,filter_212
-0.527,-0.378,-0.491,-0.132,-0.11,-0.123,filter_213
0.024,0.02,-0.02,0.001,-0.043,0.049,filter_214
0.098,0.176,0.095,-0.001,0.12,0.033,filter_215
-0.152,0.048,-0.155,-0.022,0.001,0.035,filter_216
-0.249,-0.37,-0.215,-0.048,-0.048,-0.105,filter_217
0.013,-0.096,-0.023,-0.013,-0.138,0.006,filter_218
-0.141,-0.163,-0.145,-0.015,-0.15,-0.071,filter_219
0.105,0.273,0.09,0.02,-0.051,0.136,filter_220
-0.133,0.032,-0.141,-0.019,-0.065,0.01,filter_221
-0.263,-0.343,-0.27,-0.057,-0.041,-0.104,filter_222
-0.044,0.039,-0.089,-0.029,-0.051,0.029,filter_223
-0.512,-0.368,-0.474,-0.094,-0.051,-0.055,filter_224
-0.391,-0.246,-0.393,-0.07,-0.162,-0.071,filter_225
0.083,0.267,0.062,0.008,0.096,0.044,filter_226
-0.391,-0.375,-0.361,-0.088,-0.062,-0.111,filter_227
-0.096,0.009,-0.099,-0.033,0.006,-0.038,filter_228
-0.469,-0.422,-0.456,-0.128,-0.135,-0.131,filter_229
-0.57,-0.348,-0.554,-0.099,-0.13,-0.08,filter_230
0.021,-0.022,0.022,-0.029,0.05,-0.044,filter_231
-0.231,0.108,-0.224,-0.016,-0.125,0.06,filter_232
0.062,0.207,0.039,0.03,-0.083,0.069,filter_233
0.043,0.143,0.073,0.015,-0.075,0.03,filter_234
-0.037,-0.086,-0.022,-0.014,0.004,-0.062,filter_235
-0.27,-0.104,-0.277,-0.033,-0.219,-0.011,filter_236
-0.231,-0.297,-0.239,-0.062,-0.085,-0.129,filter_237
0.054,-0.076,0.043,0.013,0.045,-0.036,filter_238
-0.032,-0.015,0.001,-0.005,-0.018,0.004,filter_239
-0.431,-0.273,-0.435,-0.111,-0.112,-0.086,filter_240
-0.242,-0.242,-0.232,-0.07,-0.039,-0.073,filter_241
-0.102,-0.246,-0.112,-0.019,-0.056,-0.041,filter_242
-0.113,0.018,-0.104,-0.027,-0.058,0.054,filter_243
-0.021,0.056,-0.026,-0.013,0.002,0.046,filter_244
0.026,0.0,0.004,0.037,-0.124,0.024,filter_245
0.016,-0.128,0.023,-0.016,0.008,-0.085,filter_246
-0.321,-0.245,-0.323,-0.089,-0.068,-0.101,filter_247
-0.18,-0.165,-0.171,-0.016,-0.083,-0.017,filter_248
-0.453,-0.253,-0.459,-0.107,-0.066,-0.057,filter_249
-0.307,-0.338,-0.246,-0.035,-0.021,-0.054,filter_250
-0.009,-0.035,-0.059,-0.014,-0.049,0.032,filter_251
-0.539,-0.362,-0.509,-0.128,-0.113,-0.111,filter_252
-0.062,0.093,-0.073,-0.029,0.004,-0.006,filter_253
-0.091,-0.103,-0.12,-0.026,-0.12,0.017,filter_254
-0.04,0.066,-0.088,-0.01,-0.124,0.045,filter_255
