unmod1,human,vleng,Andrev2015,muscle,pc3,channel_name
-0.179,-0.368,-0.145,-0.041,0.068,-0.138,filter_127
0.005,-0.191,-0.005,-0.007,-0.05,-0.043,filter_128
-0.27,-0.364,-0.304,-0.085,-0.024,-0.116,filter_129
0.092,0.25,0.012,0.007,-0.13,0.087,filter_130
0.066,0.36,0.028,0.031,-0.017,0.143,filter_131
0.079,0.166,0.044,0.026,0.015,0.072,filter_132
-0.159,-0.117,-0.18,-0.054,-0.105,-0.034,filter_133
-0.012,0.119,-0.016,-0.023,-0.086,-0.006,filter_134
0.049,0.022,0.013,0.049,-0.109,0.084,filter_135
0.063,0.246,0.049,-0.002,0.036,0.057,filter_136
-0.007,0.048,-0.028,0.004,0.004,0.031,filter_137
-0.011,0.018,-0.079,0.006,-0.121,0.007,filter_138
0.021,0.284,-0.011,0.026,-0.048,0.066,filter_139
-0.079,0.189,-0.086,0.034,-0.071,0.036,filter_140
0.079,0.261,0.028,0.063,-0.096,0.131,filter_141
0.006,0.13,0.01,0.027,-0.071,0.038,filter_142
-0.051,-0.282,-0.041,-0.004,-0.043,-0.076,filter_143
0.053,0.033,0.014,-0.012,-0.11,-0.004,filter_144
-0.636,-0.446,-0.585,-0.13,-0.111,-0.101,filter_145
0.008,-0.225,0.011,-0.007,-0.038,-0.055,filter_146
-0.019,-0.076,-0.054,-0.01,-0.053,-0.031,filter_147
-0.058,-0.001,-0.08,0.004,-0.007,0.039,filter_148
-0.024,-0.105,-0.069,-0.018,-0.075,-0.04,filter_149
-0.207,-0.107,-0.191,-0.021,-0.045,0.016,filter_150
0.079,0.1,0.022,0.017,0.008,0.068,filter_151
0.007,0.076,-0.05,-0.021,-0.043,0.045,filter_152
-0.015,0.075,-0.044,-0.005,0.064,0.005,filter_153
-0.275,-0.195,-0.258,-0.072,0.082,-0.055,filter_154
0.083,0.272,0.021,-0.004,-0.056,0.075,filter_155
-0.082,-0.184,-0.087,0.015,-0.095,-0.029,filter_156
