unmod1,human,vleng,Andrev2015,muscle,pc3
0.20616904,0.34330517,0.18872973,-0.08684969,0.17948584,-0.03913742
-0.09272045,-0.124315664,-0.04422671,0.12132299,-0.059521515,0.30018663
-0.05209855,-0.06738156,0.007910105,0.05236732,0.007857082,0.048870888
-0.17799169,-0.050054424,-0.14194046,0.06321092,0.24481113,0.024482638
-0.032968868,0.23290569,-0.15664989,-0.095146306,0.10076582,-0.15906343
-0.11789868,-0.18758608,-0.032974306,-0.08142335,-0.116912894,-0.18543513
-0.062640965,-0.21828344,-0.00084320985,-0.21503094,0.21937102,-0.09669731
0.031448636,-0.085110545,-0.0811466,0.16395596,-0.17964812,0.15690503
0.0010495118,-0.036705002,-0.008230726,0.22011803,0.06281481,0.15733927
0.14753066,0.04758931,0.085625544,0.22831899,0.10095337,0.26720306
-0.034400716,-0.10512963,-0.021697927,-0.33331406,-0.25696364,-0.15388529
0.007083104,-0.019064933,-0.028898964,-0.22718182,-0.20109749,0.19977216
-0.07548047,-0.16730995,-0.091802105,-0.07574399,0.2525395,-0.033087354
0.10618464,0.14964177,0.14389332,-0.07048807,-0.038344298,0.07773805
0.064292796,0.12599279,0.07669006,-0.06912342,-0.084938,-0.009016223
0.13568112,0.20772767,0.06779472,-0.0077153305,0.23519748,0.079361275
0.012590328,0.10349863,0.01593092,0.026100093,-0.09105955,0.017336862
0.028174218,-0.04779841,0.0018535998,-0.053848825,0.034164168,0.11498826
-0.04471374,0.028674545,-0.008205254,-0.1022254,0.121835545,-0.019752622
0.024789905,0.044893075,-0.041687794,-0.025094308,0.35689917,-0.09536751
-0.1675773,-0.109563045,-0.012315413,0.23210114,-0.19705099,0.13507915
-0.036940686,-0.080140494,0.024451075,-0.21684133,0.1274722,-0.12702012
0.023974016,-0.059512965,-0.054937243,0.13376756,0.012000076,0.17229098
-0.08795596,0.021280339,-0.27949765,0.11212762,0.07356146,0.013423764
-0.018900989,0.06700608,-0.04876671,-0.06516835,-0.024539772,-0.11718446
0.052081306,0.004680669,0.008025839,-0.22165102,0.12364089,-0.21329875
0.13560602,0.09418117,0.0057684574,-0.076301016,-0.30755422,0.33897868
0.04748434,0.12863688,0.04998642,-0.12789236,0.026490062,0.005619591
-0.48989874,-0.30352205,-0.3941911,-0.20277116,-0.21010078,-0.11131347
-0.09321197,-0.12781419,-0.019996723,0.109690435,0.18263352,0.2680068
0.112462796,0.1346429,0.012056474,0.004726974,-0.024591817,0.13362308
0.021622889,-0.08004677,0.007020885,0.32046533,-0.05037887,0.0887436
0.4260703,0.3613001,0.40271848,-0.022016268,0.026083928,-0.04945923
0.06319322,-0.01281789,-0.021908171,-0.19313663,0.10620396,-0.039085116
0.03689991,0.051327523,-0.0015503693,-0.1641839,0.025073,-0.1933399
-0.047018968,-0.028305741,-0.049903348,0.3362485,-0.14001468,0.28214392
0.08523588,0.13945791,-0.003386926,0.047075164,0.08545451,0.26524663
0.092570014,0.16112813,0.07247802,-0.16946279,0.04294096,-0.4445396
0.12483742,0.08301492,0.06610691,0.008452757,0.2176697,0.04429142
-0.28547382,-0.1991339,-0.2062732,0.041963972,0.2949439,-0.2364714
-0.076887995,-0.20939904,0.007239755,-0.028554594,0.20765653,-0.048314944
-0.02541282,0.0013989421,-0.03760495,0.12825242,0.042604104,0.31903207
-0.047164895,-0.042769417,0.010501435,0.13406406,-0.16359213,0.15317287
0.17862305,0.17021064,0.11792187,-0.25370207,0.1689874,-0.0010523127
0.24529229,0.35101214,0.24204503,0.038693365,-0.113054514,-0.0693458
-0.030990697,-0.12581031,-0.14978825,0.035091046,0.01838984,-0.07072934
