Y_true,Y_pred,with_uAUG,with_GCC,with_GGC,with_CGG,with_GGG,with_CCC,with_TTT,with_AAA
0.8695701357034461,0.7215435,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
-0.9476846307192628,-0.9942226,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
0.17449667906969574,0.08115573,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.695786284319442,-1.83574,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
0.6615164584283496,-0.010012329,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.3210929002750762,-1.4404678,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.6982853836595315,-1.820934,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.6361414820068363,-1.5660893,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
-1.3876440434963386,-1.5745037,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
-2.190494312335018,-2.2052817,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
-1.9307599065065668,-2.0381782,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
-0.654614859995919,-0.47079933,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-1.6234401939420853,-1.9700309,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
-0.6564518832009727,-1.2557808,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
-1.9529189949624484,-1.8609414,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
0.7405095431322368,0.46729845,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
-1.4444344799384412,-1.3406687,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.4049172658401985,-1.1881222,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
-0.14560454034164105,-0.19716103,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
-1.8399750072789884,-2.0935717,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
-0.474595672998523,-1.1307868,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
-2.0069596852985025,-1.9398335,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
-1.8742169184340227,-1.8400732,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
-1.7044734690050334,-1.8766544,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0
