Query_ID,q-value_ribo,q-value_yeast
STunmod1_l3_f_242,0.0804747,0.505618
STunmod1_l3_f_243,0.0673394,0.310205
STunmod1_l3_f_244,0.82478,0.572516
STunmod1_l3_f_245,0.0747437,0.0160505
STunmod1_l3_f_246,0.0754735,0.304047
STunmod1_l3_f_247,0.625898,1.0
STunmod1_l3_f_248,0.618197,0.834809
STunmod1_l3_f_249,1.0,0.989105
STunmod1_l3_f_250,1.0,0.584864
STunmod1_l3_f_251,0.244223,0.0219487
STunmod1_l3_f_252,0.145981,0.711149
